index,Books,link
1,Fundamentals of Power Electronics,https://link.springer.com/content/pdf/10.1007%2Fb100747.pdf
2,Handbook of the Life Course,https://link.springer.com/content/pdf/10.1007%2Fb100507.pdf
3,All of Statistics,https://link.springer.com/content/pdf/10.1007%2F978-0-387-21736-9.pdf
4,Social Anxiety and Social Phobia in Youth,https://link.springer.com/content/pdf/10.1007%2Fb99417.pdf
5,Discrete Mathematics,https://link.springer.com/content/pdf/10.1007%2Fb97469.pdf
6,Developmental Neurobiology,https://link.springer.com/content/pdf/10.1007%2F0-387-28117-7.pdf
7,Intuitive Probability and Random Processes using MATLAB®,https://link.springer.com/content/pdf/10.1007%2Fb104645.pdf
8,Handbook of Disaster Research,https://link.springer.com/content/pdf/10.1007%2F978-0-387-32353-4.pdf
9,Handbook of the Sociology of Gender,https://link.springer.com/content/pdf/10.1007%2F0-387-36218-5.pdf
10,Handbook of Sociological Theory,https://link.springer.com/content/pdf/10.1007%2F0-387-36274-6.pdf
11,Clinical Neuroanatomy,https://link.springer.com/content/pdf/10.1007%2F978-0-387-36601-2.pdf
12,Acquired Brain Injury,https://link.springer.com/content/pdf/10.1007%2F978-0-387-37575-5.pdf
13,Numerical Optimization,https://link.springer.com/content/pdf/10.1007%2F978-0-387-40065-5.pdf
14,Handbook of Biological Confocal Microscopy,https://link.springer.com/content/pdf/10.1007%2F978-0-387-45524-2.pdf
15,Ceramic Materials,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46271-4.pdf
16,Principles of Fluorescence Spectroscopy,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46312-4.pdf
17,Fundamentals of Biomechanics,https://link.springer.com/content/pdf/10.1007%2F978-0-387-49312-1.pdf
18,Primer on the Rheumatic Diseases,https://link.springer.com/content/pdf/10.1007%2F978-0-387-68566-3.pdf
19,International Handbook of Historical Archaeology,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72071-5.pdf
20,Database Marketing,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72579-6.pdf
21,Composite Materials,https://link.springer.com/content/pdf/10.1007%2F978-0-387-74365-3.pdf
22,Time Series Analysis,https://link.springer.com/content/pdf/10.1007%2F978-0-387-75959-3.pdf
23,Transmission Electron Microscopy,https://link.springer.com/content/pdf/10.1007%2F978-0-387-76501-3.pdf
24,Handbook of Quantitative Criminology,https://link.springer.com/content/pdf/10.1007%2F978-0-387-77650-7.pdf
25,Plant Physiological Ecology,https://link.springer.com/content/pdf/10.1007%2F978-0-387-78341-3.pdf
26,Introductory Statistics with R,https://link.springer.com/content/pdf/10.1007%2F978-0-387-79054-1.pdf
27,The Elements of Statistical Learning,https://link.springer.com/content/pdf/10.1007%2F978-0-387-84858-7.pdf
28,"Psychology, Religion, and Spirituality",https://link.springer.com/content/pdf/10.1007%2F978-0-387-87573-6.pdf
29,Introductory Time Series with R,https://link.springer.com/content/pdf/10.1007%2F978-0-387-88698-5.pdf
30,Child Neuropsychology,https://link.springer.com/content/pdf/10.1007%2F978-0-387-88963-4.pdf
31,A Beginner's Guide to R,https://link.springer.com/content/pdf/10.1007%2F978-0-387-93837-0.pdf
32,Geomorphology of Desert Environments,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-5719-9.pdf
33,The Joy of Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-6099-1.pdf
34,Fatigue of Structures and Materials,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-6808-9.pdf
35,Essential Astrophysics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-35963-7.pdf
36,Introduction to Evolutionary Computing,https://link.springer.com/content/pdf/10.1007%2F978-3-662-44874-8.pdf
37,Data Analysis,https://link.springer.com/content/pdf/10.1007%2F978-3-319-03762-2.pdf
38,International Perspectives on Psychotherapy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-56194-3.pdf
39,Electrical Machines,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-0400-2.pdf
40,Mechanics and Thermodynamics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-27877-3.pdf
41,Applied Behavior Analysis,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44794-0.pdf
42,"Reading, Writing, and Proving",https://link.springer.com/content/pdf/10.1007%2F978-1-4419-9479-0.pdf
43,Linear and Nonlinear Programming,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18842-3.pdf
44,Introduction to Partial Differential Equations,https://link.springer.com/content/pdf/10.1007%2F978-3-319-48936-0.pdf
45,Energy Storage,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21239-5.pdf
46,Metabolism of Human Diseases,https://link.springer.com/content/pdf/10.1007%2F978-3-7091-0715-7.pdf
47,Sensory Evaluation of Food,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-6488-5.pdf
48,Fundamentals of Robotic Mechanical Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01851-5.pdf
49,Integrative Human Biochemistry,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-3058-6.pdf
50,Philosophy of Science for Scientists,https://link.springer.com/content/pdf/10.1007%2F978-3-319-26551-3.pdf
51,Particles and Nuclei,https://link.springer.com/content/pdf/10.1007%2F978-3-662-46321-5.pdf
52,Data Structures and Algorithms with Python,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13072-9.pdf
53,LGBT-Parent Families,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-4556-2.pdf
54,Integrated Neuroscience,https://link.springer.com/content/pdf/10.1007%2F978-1-4615-1077-2.pdf
55,Introduction to Partial Differential Equations,https://link.springer.com/content/pdf/10.1007%2F978-3-319-02099-0.pdf
56,Microeconomics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37434-0.pdf
57,System Dynamics,https://link.springer.com/content/pdf/10.1007%2F978-981-10-2045-2.pdf
58,Cosmology for the Curious,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57040-2.pdf
59,Methods of Mathematical Modelling,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23042-9.pdf
60,Introduction to Logic Circuits & Logic Design with Verilog,https://link.springer.com/content/pdf/10.1007%2F978-3-319-53883-9.pdf
61,Structural Analysis,https://link.springer.com/content/pdf/10.1007%2F978-90-481-2516-6.pdf
62,Engineering Flow and Heat Exchange,https://link.springer.com/content/pdf/10.1007%2F978-1-4899-7454-9.pdf
63,Enterprise Risk Management Models,https://link.springer.com/content/pdf/10.1007%2F978-3-662-53785-5.pdf
64,Reactive Power Control in AC Power Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-51118-4.pdf
65,Principles of Microeconomics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57589-6.pdf
66,Additive Manufacturing Technologies,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-1120-9.pdf
67,Principles of Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-23026-4.pdf
68,Fundamentals of Biomechanics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44738-4.pdf
69,Irrigation and Drainage Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05699-9.pdf
70,LaTeX in 24 Hours,https://link.springer.com/content/pdf/10.1007%2F978-3-319-47831-9.pdf
71,Psychology of Perception,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31791-5.pdf
72,Extragalactic Astronomy and Cosmology,https://link.springer.com/content/pdf/10.1007%2F978-3-642-54083-7.pdf
73,Automata and Computability,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-1844-9.pdf
74,The Algorithm Design Manual,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-070-4.pdf
75,Chemical Thermodynamics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-19864-9.pdf
76,Computational Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-61088-7.pdf
77,Introduction to Statistics and Data Analysis,https://link.springer.com/content/pdf/10.1007%2F978-3-319-46162-5.pdf
78,Grammar for Teachers,https://link.springer.com/content/pdf/10.1007%2F978-3-319-33916-0.pdf
